ProjectNumber,BudgetYear,CostType,CostAmount
4894,2009,Labor,145530.26
4894,2009,Material,25038.18
4894,2010,Labor,144617.28
4894,2010,Material,6517.65
4894,2011,Labor,42861.8
4894,2012,Labor,20657.12
4894,2013,Labor,7654.13
4894,2013,Material,7393.37
4894,2014,Material,36399.7
4894,2015,Labor,401.18
4894,2015,Material,9115.11
4894,2016,Material,1339.44
4895,2002,Labor,8432.66
4895,2002,Material,1669509.77
4895,2003,Labor,3022.65
4895,2003,Material,34064.25
4896,2002,Material,7815492.77
4898,2002,Material,150386.23
4898,2004,Labor,17.99
4899,2002,Labor,3457.34
4899,2002,Material,206400.75
4899,2003,Labor,14773.68
4899,2003,Material,10770.47
4899,2004,Labor,4538.44
4899,2004,Material,37262.5
4900,2002,Material,486.62
4900,2005,Labor,105.43
4900,2007,Labor,15791.44
4900,2008,Labor,3142.74
4900,2009,Labor,3797.73
4900,2010,Labor,12644.33
4900,2010,Material,23185.44
4900,2011,Labor,25338.31
4900,2011,Material,190026.86
4900,2012,Labor,56560.13
4900,2012,Material,113568.99
4900,2013,Labor,89519.5
4900,2013,Material,1922837
4900,2014,Labor,4944.68
4900,2014,Material,4439.82
4900,2015,Labor,586.26
4901,2002,Labor,13241.98
4901,2002,Material,877643.37
4901,2003,Labor,30477.05
4901,2003,Material,782337.36
4901,2004,Labor,10855.01
4901,2004,Material,279846
4901,2005,Labor,193.75
4901,2005,Material,60759.37
4901,2006,Labor,0
4902,2002,Material,26061.29
4902,2003,Material,32031
4902,2004,Material,3500
4902,2005,Material,10350.34
4902,2006,Material,6224.57
4902,2007,Material,5668.95
4902,2008,Material,9488.99
4902,2009,Material,10168.98
4902,2010,Material,9056.23
4902,2011,Material,12131.4
4902,2012,Material,11145.62
4902,2013,Material,14894.54
4902,2014,Material,5900
4902,2015,Material,5462.2
4902,2016,Material,6356
4902,2017,Material,8354.05
4902,2018,Material,3980.5
4902,2019,Material,1959.73
4906,2002,Labor,6290.19
4906,2002,Material,1077343.31
4906,2003,Labor,23401.45
4906,2003,Material,6483722.34
4906,2004,Labor,6180.33
4906,2004,Material,1828550.71
4906,2005,Material,138241.67
