ProjectId,ProjectName,PlantingYear,MaterialType,Units,LatinName,SpeciesCategory,SpeciesType,WetlandIndicatorCode,StockType
1080,Fanno Creek - Greenway Park,2012,Salix lasiandra (Pacific Willow) - Live Stakes (On-Site),750,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2012,Juncus ensifolius (Daggerleaf rush) - Plug,1000,Juncus ensifolius,Native Herbaceous,Grass,FACW,Plug
1080,Fanno Creek - Greenway Park,2012,Crataegus douglasii (Black Hawthorn) - Container,11,Crataegus douglasii,Native Woody,Tree,FAC,Container
1080,Fanno Creek - Greenway Park,2012,Rosa pisocarpa (Swamp rose) - Container,51,Rosa pisocarpa,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2012,Salix scouleriana (Scoulers Willow) - Container,30,Salix scouleriana,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2012,Spiraea douglasii (Douglas Spiraea) - Live Stakes,500,Spiraea douglasii,Native Woody,Shrub,FACW,Live Stakes
1080,Fanno Creek - Greenway Park,2012,Carex obnupta (Slough sedge) - Plug,1000,Carex obnupta,Native Herbaceous,Sedge,OBL,Plug
1080,Fanno Creek - Greenway Park,2012,Amelanchier alnifolia (Serviceberry) - Container,5,Amelanchier alnifolia,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2012,Salix lasiandra (Pacific Willow) - Container,10,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2012,Salix lasiandra (Pacific Willow) - Container,30,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2012,Salix lasiandra (Pacific Willow) - Container,10,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2012,Juncus patens (Soft rush) - Plug,1000,Juncus patens,Native Herbaceous,Rush,FACW,Plug
1080,Fanno Creek - Greenway Park,2012,Oemleria cerasiformis (Indian Plum) - Container,5,Oemleria cerasiformis,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2012,Lonicera involucrata (Black Twinberry) - Live Stakes,1250,Lonicera involucrata,Native Woody,Shrub,FAC,Live Stakes
1080,Fanno Creek - Greenway Park,2012,Rubus parviflorus (Thimbleberry) - Container,20,Rubus parviflorus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2012,Symphoricarpos albus (Common Snowberry) - Container,25,Symphoricarpos albus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2012,Thuja plicata (Western red cedar) - Container,85,Thuja plicata,Native Woody,Tree,FAC,Container
1080,Fanno Creek - Greenway Park,2012,Physocarpus capitatus (Pacific Ninebark) - Container,20,Physocarpus capitatus,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2012,Physocarpus capitatus (Pacific Ninebark) - Container,6,Physocarpus capitatus,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2012,Cornus sericea (Red osier dogwood) - Live Stakes (On-Site),750,Cornus sericea,Native Woody,Shrub,FACW,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2012,Spiraea douglasii (Douglas Spiraea) - Container,45,Spiraea douglasii,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2012,Spiraea douglasii (Douglas Spiraea) - Container,6,Spiraea douglasii,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2012,Acer macrophyllum (Bigleaf maple) - Container,30,Acer macrophyllum,Native Woody,Tree,FACU,Container
1080,Fanno Creek - Greenway Park,2013,Abies grandis (Grand fir) - Bare Root,100,Abies grandis,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2013,Cornus sericea (Red osier dogwood) - Bare Root,1000,Cornus sericea,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2013,Rubus parviflorus (Thimbleberry) - Bare Root,1000,Rubus parviflorus,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2013,Mahonia aquifolium (Tall Oregon grape) - Bare Root,500,Mahonia aquifolium,Native Woody,Shrub,FACU,Bare Root
